# x(kpc) y(kpc) z(kpc)
-1.117199 2.810056 0.391193 
4.130671 2.895110 -0.003273 
-3.767673 -3.118062 -0.880948 
-1.680623 0.769990 0.035338 
-3.162409 -7.447584 -0.113112 
3.258285 1.772554 1.764721 
-3.355171 3.982586 -0.095137 
2.239303 3.078882 0.542025 
-1.639002 -6.697674 -0.881877 
1.428879 -2.347641 0.890418 
-0.362989 4.292785 0.955703 
1.673949 11.878849 0.974976 
4.948169 -3.832952 -0.000102 
7.949556 -10.907246 -0.830346 
11.159289 -13.763570 0.869966 
4.498994 -2.980134 -0.226173 
-1.317937 -1.012275 0.763701 
-3.900660 -3.578738 0.051601 
-3.125035 14.353116 -0.652828 
11.156327 2.707277 1.159643 
-6.451355 -5.337348 -0.197952 
1.841849 1.820950 0.639017 
1.993187 2.766139 -0.248094 
-5.593843 0.202743 0.690444 
3.549431 -0.086078 0.004956 
-1.700811 0.308190 0.422646 
-1.031794 -2.459801 0.946941 
-1.987922 5.121233 -0.746329 
3.117243 -0.361775 0.065181 
-2.709657 2.872353 -0.279712 
-2.844696 1.986336 -0.098745 
14.322895 8.515300 -1.335746 
-0.141999 -6.463211 0.450841 
-3.319710 -8.438666 0.686516 
8.209437 -5.603336 -0.281998 
-3.238367 -2.885630 0.054082 
-2.431949 13.937935 -1.276361 
-10.756475 4.282179 0.424041 
-11.322092 -4.445428 0.189351 
2.967527 9.291972 0.639278 
2.621301 -8.559995 1.296578 
0.401938 -0.556974 -0.301563 
-13.394319 -0.905607 0.798719 
1.283784 6.802390 -0.361262 
-10.274250 -0.189073 1.274225 
5.956817 -1.536187 -1.329550 
4.315728 4.284374 -0.111529 
3.405632 -5.411722 -0.010823 
4.300997 -1.020923 0.301433 
-1.992065 -3.738691 -0.131508 
-2.634925 1.826214 -0.392151 
3.805538 19.520862 0.365982 
-12.517342 -9.803942 0.165237 
12.651642 9.638498 0.497914 
1.093614 2.357127 0.024007 
-4.615070 2.751801 -0.761281 
6.317574 -6.791655 -0.597071 
-0.868813 6.895796 -0.795779 
-0.510456 -0.061741 0.471945 
3.251964 -7.077092 -1.441635 
-6.595123 12.155428 0.304736 
-2.047436 -11.056430 0.135709 
0.497544 -1.512272 -0.444069 
-1.181806 -2.200985 0.714895 
-11.699657 4.622776 -0.188748 
0.099968 2.475961 0.072312 
7.449915 14.720894 -0.128828 
6.024023 1.358766 0.403472 
4.503123 -0.414306 -0.323335 
-1.369410 4.745137 -0.555820 
1.820577 2.332824 0.049035 
-6.204653 3.870681 -0.136292 
-5.730937 -8.241659 0.297466 
7.108025 -6.225123 -0.274737 
4.100050 -0.251647 0.926429 
3.703192 -1.115014 0.012140 
-7.860376 4.335063 -0.365237 
-1.110065 -8.397655 -0.005337 
0.106606 -1.805586 -0.564720 
6.327146 -14.446105 -0.051856 
0.931284 4.138944 -0.271442 
-4.437022 -7.271058 -0.143484 
8.541588 -8.160439 -0.911984 
-0.596046 12.453236 0.665278 
-6.928068 8.688053 1.091523 
-8.280463 13.381005 0.206087 
-7.765871 3.787922 0.709234 
-0.200197 -1.291231 0.525922 
3.277465 -0.393555 0.980023 
1.299204 -4.351045 -0.445459 
-1.402631 0.244717 0.619759 
2.611431 7.385499 -0.190793 
1.766819 2.339612 -0.047285 
14.432932 2.169732 -0.292361 
2.540795 -5.535336 -0.076667 
0.268634 -0.128661 -0.355460 
-3.378829 -4.284456 0.595630 
1.438211 -7.493756 -0.614394 
1.591993 5.655703 -0.076860 
-2.892415 -1.595611 -0.309944 
-0.508427 1.500154 0.201166 
2.169407 6.508656 -0.038722 
1.108839 3.239400 -0.264287 
4.716542 9.928259 1.448324 
2.918833 -0.204348 0.024824 
-0.498544 -1.645092 -0.611233 
-8.706153 -2.465027 0.299854 
-13.879816 -9.370885 0.059419 
1.359839 2.349155 0.748824 
-3.048811 1.304856 0.081934 
2.689081 4.086316 -0.327825 
-4.819950 -1.295029 0.126022 
5.321996 1.016154 -0.613503 
-0.051840 5.658622 0.246584 
-3.350906 -0.890985 0.080718 
-3.010799 4.959247 0.198100 
-4.513645 3.046974 -1.025145 
-3.761333 -6.518670 0.629863 
-7.434591 -0.225605 -0.068174 
4.903343 7.555057 -0.298607 
0.819145 3.297437 0.687849 
3.408254 -1.091206 1.169786 
-1.000237 -13.489257 -0.007071 
-3.623779 -3.218181 0.793961 
-16.736316 -9.619703 -0.761976 
-0.274373 12.374030 1.572727 
1.685075 -1.780027 1.272370 
1.369686 4.206499 0.570400 
10.077134 -8.668575 -0.202903 
-3.701449 6.142671 -0.259127 
-15.780475 7.805898 0.121065 
-1.681493 5.167043 0.160467 
